content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Broker_review,"257,162","10,595,079","75,144",2.43,"123,198,192",12.63
Safety_megascaled,"249,282","6,886,540","155,706",3.62,"82,154,165",12.93
Best,"160,623","4,478,621","15,445",3.59,"82,122,637",19.34
How_to_buy_shares_and_ETFs_megascaled,"35,416","1,862,281","257,566",1.9,"41,620,750",23.35
Tools,"29,993","598,430","15,239",5.01,"5,744,541",10.6
Country_page,"24,297","670,079",445,3.63,"10,039,428",15.98
Education,"9,596","889,895","2,334",1.08,"38,280,745",44.02
Homepage,"4,123","111,882",35,3.69,"4,825,478",44.13
Company_name_options_megascaled,"3,283","162,878","28,018",2.02,"3,321,242",21.39
,"2,711","1,532,445","18,182",0.18,"9,137,659",6.96
Not_reviewed_brokers,"1,974","79,113","32,286",2.5,"1,309,600",17.55
Other,381,"61,817",466,0.62,"1,580,098",26.56
